year_frame,breeder_peak_doy,migrant_peak_doy
2007-11,92,83
2008-12,93,83
2009-13,90,83
2010-14,89,83
2011-15,90,93
2012-16,91,91
2013-17,91,69
2014-18,93,98
2015-19,83,84
2016-20,81,84
2017-21,173,87
2018-22,178,92
2019-23,178,90
2020-24,80,94
2021-25,93,79
