year_frame,breeder_peak_doy,migrant_peak_doy
2007-11,124,113
2008-12,124,113
2009-13,124,113
2010-14,123,123
2011-15,123,123
2012-16,125,109
2013-17,127,123
2014-18,128,108
2015-19,127,119
2016-20,125,119
2017-21,123,121
2018-22,123,121
2019-23,122,120
2020-24,123,122
2021-25,123,120
