"species","breeder_slope","migrant_slope"
"Accipiter_nisus",3.3785714285716,0.328571428571436
"Acrocephalus_arundinaceus",0.0285714285714286,0.0821428571428633
"Actitis_hypoleucos",-0.13571428571426,-0.25
"Aegolius_funereus",-0.314285714285758,-1.63928571428578
"Aix_galericulata",0.289285714285725,-0.250000000000047
"Alcedo_atthis",1.4857142857142,-0.857142857142892
"Alectoris_graeca",-0.182142857142789,-0.221428571428635
"Alopochen_aegyptiaca",-2.1250000000002,0.153571428571297
"Anser_anser",-1.90357142857117,0.0142857142857282
"Anthus_campestris",-0.694505494505412,-0.0214285714285623
"Anthus_pratensis",-3.53928571428605,-0.25714285714287
"Apus_pallidus",-0.396428571428706,-2.46785714285729
"Aquila_chrysaetos",-3.8678571428575,-2.25357142857142
"Ardea_purpurea",3.23571428571444,-1.30357142857149
"Asio_otus",0.878571428571534,-0.735714285714422
"Astur_gentilis",-6.26071428571457,0.482142857142799
"Athene_noctua",-0.0178571428571384,-0.0249999999999963
"Botaurus_minutus",1.71428571428579,1.4035714285715
"Bubo_bubo",-4.6535714285715,-2.69642857142837
"Caprimulgus_europaeus",0.0535714285714027,-0.0107142857143035
"Carduelis_citrinella",0.721428571428606,4.03928571428542
"Carpodacus_erythrinus",-0.235714285714231,-0.203571428571436
"Charadrius_dubius",0.421428571428585,-0.446428571428584
"Circaetus_gallicus",-0.947252747252844,-0.382142857142901
"Columba_oenas",0.853571428571553,-0.896428571428586
"Coturnix_coturnix",0.149999999999963,1.97142857142863
"Crex_crex",-1.61065088757406,-0.660714285714307
"Cuculus_canorus",-0.0714285714285651,-0.167857142857128
"Curruca_communis",-0.0821428571428623,0.50000000000001
"Curruca_curruca",-0.110714285714258,0.942857142857202
"Dendrocopos_leucotos",-4.77500000000023,-3.83928571428588
"Dendrocoptes_medius",0.571428571428606,-0.253571428571427
"Dryobates_minor",-0.414285714285743,-1.02857142857147
"Emberiza_calandra",-1.19642857142865,-1.02500000000007
"Emberiza_cia",-1.90000000000019,-5.29999999999997
"Emberiza_cirlus",-1.47857142857167,-1.46071428571444
"Falco_peregrinus",-6.01071428571465,-1.45000000000028
"Falco_subbuteo",0.678571428571452,0.207142857142875
"Ficedula_albicollis",0.292857142857161,-1.72142857142862
"Glaucidium_passerinum",-4.28928571428592,-8.6171954181502e-16
"Gypaetus_barbatus",6.53214285714314,1.01785714285714
"Hippolais_icterina",-0.589285714285841,-0.692857142857189
"Hippolais_polyglotta",0.389285714285738,0.153571428571433
"Jynx_torquilla",-1.59285714285735,0.285714285714301
"Lagopus_muta",2.36428571428582,0.460714285714268
"Lanius_collurio",0.100000000000006,0.103571428571442
"Locustella_luscinioides",1.18928571428577,0.914285714285759
"Locustella_naevia",0.325000000000009,-0.239285714285707
"Lullula_arborea",1.08928571428598,-0.535714285714327
"Luscinia_megarhynchos",-0.114285714285713,-0.121428571428571
"Luscinia_svecica",-5.99999999999999,0.185714285714281
"Lyrurus_tetrix",0.15714285714286,-0.0178571428571444
"Merops_apiaster",-0.249999999999979,-0.499999999999995
"Monticola_saxatilis",0.0464285714285904,0.271428571428617
"Monticola_solitarius",-2.30000000000016,-0.864285714285765
"Montifringilla_nivalis",-4.48214285714307,-0.532142857142875
"Oriolus_oriolus",-0.460714285714285,-0.671428571428631
"Otus_scops",-0.700000000000129,-1.41428571428581
"Panurus_biarmicus",-1.12500000000005,-1.96071428571437
"Pernis_apivorus",0.325000000000017,0.117857142857152
"Phasianus_colchicus",-0.803571428571418,1.60714285714298
"Phoenicurus_phoenicurus",-3.5142857142858,0.117857142857156
"Phylloscopus_sibilatrix",1.25357142857147,-0.0821428571428885
"Picoides_tridactylus",0.310714285714265,-1.31071428571444
"Picus_canus",0.66071428571438,-0.353571428571404
"Porzana_porzana",-3.58041958042003,-0.689285714285759
"Prunella_collaris",-0.0821428571428469,-7.68214285714286
"Pyrrhocorax_pyrrhocorax",6.86428571428583,-2.56428571428577
"Rallus_aquaticus",-0.95357142857144,-0.496428571428605
"Saxicola_rubetra",2.81785714285736,-0.135714285714287
"Saxicola_rubicola",-0.524999999999988,-0.939285714285772
"Scolopax_rusticola",-0.228571428571463,-6.50714285714321
"Sterna_hirundo",-0.492857142857116,-0.264285714285702
"Streptopelia_turtur",-0.471428571428573,-0.549999999999998
"Strix_aluco",-0.214285714285744,-1.97857142857144
"Tadorna_ferruginea",1.77142857142866,-0.21071428571429
"Tetrao_urogallus",-0.550000000000015,-0.782142857142892
"Tetrastes_bonasia",-0.317857142857149,-0.453571428571478
"Tichodroma_muraria",-0.921428571428617,-2.07500000000036
"Tyto_alba",0.610714285714374,1.77857142857116
"Upupa_epops",-0.317857142857142,-0.614285714285727
"Vanellus_vanellus",-1.05357142857146,-0.660714285714354
"Zapornia_parva",-2.10830860534141,-1.00714285714295
