year_frame,breeder_peak_doy,migrant_peak_doy
2007-11,143,138
2008-12,142,139
2009-13,137,131
2010-14,131,131
2011-15,131,129
2012-16,130,129
2013-17,129,129
2014-18,139,129
2015-19,143,131
2016-20,142,128
2017-21,142,129
2018-22,142,129
2019-23,130,129
2020-24,131,128
2021-25,131,130
