year_frame,breeder_peak_doy,migrant_peak_doy
2007-11,108,108
2008-12,162,162
2009-13,163,160
2010-14,153,116
2011-15,153,117
2012-16,118,118
2013-17,153,118
2014-18,103,103
2015-19,139,104
2016-20,139,102
2017-21,144,109
2018-22,112,109
2019-23,143,109
2020-24,124,141
2021-25,119,118
