year_frame,breeder_peak_doy,migrant_peak_doy
2007-11,112,114
2008-12,116,116
2009-13,114,116
2010-14,116,114
2011-15,115,115
2012-16,125,125
2013-17,127,125
2014-18,116,128
2015-19,128,128
2016-20,108,108
2017-21,52,93
2018-22,93,93
2019-23,112,113
2020-24,113,102
2021-25,113,113
