year_frame,breeder_peak_doy,migrant_peak_doy
2007-11,126,138
2008-12,142,140
2009-13,162,140
2010-14,143,141
2011-15,143,143
2012-16,146,142
2013-17,146,141
2014-18,148,141
2015-19,148,136
2016-20,148,133
2017-21,148,134
2018-22,134,133
2019-23,133,133
2020-24,133,133
2021-25,133,133
