year_frame,breeder_peak_doy,migrant_peak_doy
2007-11,108,97
2008-12,108,98
2009-13,143,98
2010-14,158,98
2011-15,156,98
2012-16,157,98
2013-17,157,98
2014-18,169,96
2015-19,168,93
2016-20,98,91
2017-21,98,92
2018-22,88,93
2019-23,88,96
2020-24,88,96
2021-25,103,98
