year_frame,breeder_peak_doy,migrant_peak_doy
2007-11,123,123
2008-12,123,124
2009-13,120,125
2010-14,119,123
2011-15,120,123
2012-16,122,124
2013-17,122,124
2014-18,117,115
2015-19,120,123
2016-20,114,114
2017-21,115,114
2018-22,117,115
2019-23,114,115
2020-24,115,115
2021-25,118,118
