year_frame,breeder_peak_doy,migrant_peak_doy
2007-11,163,140
2008-12,163,151
2009-13,153,151
2010-14,142,158
2011-15,153,155
2012-16,139,157
2013-17,103,147
2014-18,145,147
2015-19,144,148
2016-20,143,147
2017-21,143,148
2018-22,163,145
2019-23,163,148
2020-24,164,148
2021-25,133,149
