year_frame,breeder_peak_doy,migrant_peak_doy
2007-11,137,129
2008-12,137,138
2009-13,128,138
2010-14,137,138
2011-15,128,138
2012-16,128,138
2013-17,129,128
2014-18,129,128
2015-19,127,128
2016-20,127,127
2017-21,128,128
2018-22,128,128
2019-23,128,128
2020-24,128,128
2021-25,132,131
