year_frame,breeder_peak_doy,migrant_peak_doy
2007-11,127,128
2008-12,128,129
2009-13,129,129
2010-14,128,128
2011-15,128,130
2012-16,128,129
2013-17,128,128
2014-18,128,128
2015-19,128,128
2016-20,128,128
2017-21,128,128
2018-22,128,128
2019-23,128,128
2020-24,128,128
2021-25,134,130
