year_frame,breeder_peak_doy,migrant_peak_doy
2007-11,43,46
2008-12,43,43
2009-13,43,45
2010-14,43,46
2011-15,43,45
2012-16,43,46
2013-17,43,47
2014-18,43,43
2015-19,43,43
2016-20,43,43
2017-21,43,43
2018-22,167,43
2019-23,43,43
2020-24,43,43
2021-25,43,43
