year_frame,breeder_peak_doy,migrant_peak_doy
2007-11,178,111
2008-12,178,110
2009-13,178,133
2010-14,178,110
2011-15,178,110
2012-16,178,124
2013-17,177,124
2014-18,174,99
2015-19,173,124
2016-20,169,124
2017-21,169,111
2018-22,168,112
2019-23,178,111
2020-24,178,110
2021-25,178,107
