metric,species_name,zug,n_pairs_present,n_flagged,pairs_flagged,consistent_outlier
breeder_peak_doy,Accipiter nisus,Kst,6,2,Württemberg vs Württemberg 2; Württemberg 2 vs Bavaria,FALSE
breeder_peak_doy,Strix aluco,Kst,6,2,Württemberg vs Württemberg 2; Württemberg vs Swiss,FALSE
breeder_peak_doy,Dendrocopos major,Kst,3,2,Württemberg vs Württemberg 2; Württemberg vs Bavaria,FALSE
breeder_peak_doy,Loxia curvirostra,Kst,3,2,Württemberg vs Württemberg 2; Württemberg vs Bavaria,FALSE
breeder_peak_doy,Motacilla alba,Kst,3,2,Württemberg vs Württemberg 2; Württemberg 2 vs Bavaria,FALSE
breeder_peak_doy,Alcedo atthis,Kst,6,1,Bavaria vs Swiss,FALSE
breeder_peak_doy,Columba oenas,Kst,6,1,Württemberg vs Württemberg 2,FALSE
breeder_peak_doy,Saxicola rubetra,Lst,6,1,Württemberg vs Swiss,FALSE
breeder_peak_doy,Emberiza schoeniclus,Kst,3,1,Württemberg 2 vs Bavaria,FALSE
breeder_peak_doy,Motacilla cinerea,Kst,3,1,Württemberg vs Bavaria,FALSE
breeder_peak_doy,Passer domesticus,Kst,3,1,Württemberg vs Württemberg 2,FALSE
breeder_peak_doy,Emberiza calandra,Kst,1,1,Bavaria vs Swiss,FALSE
breeder_peak_doy,Fulica atra,Kst,1,1,Württemberg 2 vs Bavaria,FALSE
breeder_peak_doy,Glaucidium passerinum,Kst,1,1,Bavaria vs Swiss,FALSE
breeder_peak_doy,Tetrastes bonasia,Kst,1,1,Bavaria vs Swiss,FALSE
breeder_peak_doy,Cuculus canorus,Lst,6,0,,FALSE
breeder_peak_doy,Falco peregrinus,Kst,6,0,,FALSE
breeder_peak_doy,Falco subbuteo,Lst,6,0,,FALSE
breeder_peak_doy,Jynx torquilla,Lst,6,0,,FALSE
breeder_peak_doy,Locustella naevia,Lst,6,0,,FALSE
breeder_peak_doy,Luscinia megarhynchos,Lst,6,0,,FALSE
breeder_peak_doy,Oriolus oriolus,Lst,6,0,,FALSE
breeder_peak_doy,Phoenicurus phoenicurus,Lst,6,0,,FALSE
breeder_peak_doy,Picus canus,Kst,6,0,,FALSE
breeder_peak_doy,Saxicola rubicola,Kst,6,0,,FALSE
breeder_peak_doy,Streptopelia turtur,Lst,6,0,,FALSE
breeder_peak_doy,Aegithalos caudatus,Kst,3,0,,FALSE
breeder_peak_doy,Alauda arvensis,Kst,3,0,,FALSE
breeder_peak_doy,Anas platyrhynchos,Kst,3,0,,FALSE
breeder_peak_doy,Anthus pratensis,Kst,3,0,,FALSE
breeder_peak_doy,Anthus trivialis,Lst,3,0,,FALSE
breeder_peak_doy,Apus apus,Lst,3,0,,FALSE
breeder_peak_doy,Carduelis carduelis,Kst,3,0,,FALSE
breeder_peak_doy,Columba palumbus,Kst,3,0,,FALSE
breeder_peak_doy,Corvus corax,Kst,3,0,,FALSE
breeder_peak_doy,Coturnix coturnix,Lst,3,0,,FALSE
breeder_peak_doy,Cyanistes caeruleus,Kst,3,0,,FALSE
breeder_peak_doy,Delichon urbicum,Lst,3,0,,FALSE
breeder_peak_doy,Dryocopus martius,Kst,3,0,,FALSE
